[2026-02-22 18:30:21] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: Пользователь rty зарегистрировался
[2026-02-22 18:31:34] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: пользователь rty авторизован
[2026-02-22 18:31:41] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: пользователь rty оставил коментарий к записи [ Id: 1]: 23223
[2026-02-22 18:31:44] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: Пользователь rty вышел из системы
[2026-02-22 18:31:48] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: пользователь rty авторизован
[2026-02-22 18:31:59] IP: 127.0.0.1 | Пользователь: 44 | Статус: был в сети: 42 минут назад | Событие: Пользователь rty вышел из системы
[2026-02-22 18:33:34] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
[2026-02-22 18:35:48] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin вышел из системы
[2026-02-22 19:13:29] IP: 127.0.0.1 | Пользователь: 8 | Статус:  | Событие: Пользователь user восстановил пароль
[2026-02-22 19:13:53] IP: 127.0.0.1 | Пользователь: 40 | Статус: был в сети: 44 минут назад | Событие: Пользователь qwe восстановил пароль
[2026-02-22 19:14:03] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
